analysis,base_deaths,coverage,max_vaccines,mortality_reduction_pct,radius,replicate,risk,scenario_deaths,seed,ve_i,ve_m
fig3_risk_compensation,1063.0,0.4,0,71.21354656632172,2,2,1.0,306.0,2026704002,0.6,0.6
fig3_risk_compensation,1092.0,0.4,0,76.46520146520146,2,3,1.0,257.0,2026704003,0.6,0.6
fig3_risk_compensation,1073.0,0.4,0,69.33830382106244,2,4,1.0,329.0,2026704004,0.6,0.6
fig3_risk_compensation,1375.0,0.4,0,77.0909090909091,2,5,1.0,315.0,2026704005,0.6,0.6
fig3_risk_compensation,1127.0,0.4,0,74.53416149068323,2,6,1.0,287.0,2026704006,0.6,0.6
fig3_risk_compensation,976.9999999999999,0.4,0,63.664278403275326,2,7,1.0,355.0,2026704007,0.6,0.6
fig3_risk_compensation,1068.0,0.4,0,75.56179775280899,2,8,1.0,261.0,2026704008,0.6,0.6
fig3_risk_compensation,1329.0,0.4,0,79.38299473288187,2,9,1.0,274.0,2026704009,0.6,0.6
fig3_risk_compensation,750.0,0.4,0,69.86666666666666,2,10,1.0,225.99999999999997,2026704010,0.6,0.6
fig3_risk_compensation,1075.0,0.4,0,71.72093023255815,2,11,1.0,304.0,2026704011,0.6,0.6
fig3_risk_compensation,1159.0,0.4,0,66.26402070750648,2,12,1.0,391.0,2026704012,0.6,0.6
fig3_risk_compensation,1276.0,0.4,0,70.92476489028213,2,13,1.0,371.0,2026704013,0.6,0.6
fig3_risk_compensation,784.9999999999999,0.4,0,61.27388535031846,2,14,1.0,304.0,2026704014,0.6,0.6
fig3_risk_compensation,1094.0,0.4,0,72.02925045703839,2,15,1.0,306.0,2026704015,0.6,0.6
fig3_risk_compensation,1143.0,0.4,0,73.92825896762905,2,16,1.0,298.0,2026704016,0.6,0.6
fig3_risk_compensation,1301.0,0.4,0,73.71252882398156,2,17,1.0,342.0,2026704017,0.6,0.6
fig3_risk_compensation,1357.0,0.4,0,73.10243183492999,2,18,1.0,365.0,2026704018,0.6,0.6
fig3_risk_compensation,1136.0,0.4,0,76.05633802816901,2,19,1.0,272.0,2026704019,0.6,0.6
fig3_risk_compensation,986.0000000000001,0.4,0,77.58620689655173,2,20,1.0,221.00000000000003,2026704020,0.6,0.6
fig3_risk_compensation,1388.0,0.4,0,74.27953890489914,2,21,1.0,357.0,2026704021,0.6,0.6
fig3_risk_compensation,1102.0,0.4,0,74.68239564428312,2,22,1.0,279.0,2026704022,0.6,0.6
fig3_risk_compensation,1143.0,0.4,0,76.20297462817148,2,23,1.0,272.0,2026704023,0.6,0.6
fig3_risk_compensation,1151.0,0.4,0,73.501303214596,2,24,1.0,305.0,2026704024,0.6,0.6
fig3_risk_compensation,1142.0,0.4,0,77.5831873905429,2,25,1.0,256.0,2026704025,0.6,0.6
fig3_risk_compensation,1209.0,0.4,0,76.75765095119934,2,26,1.0,281.0,2026704026,0.6,0.6
fig3_risk_compensation,1160.0,0.4,0,74.3103448275862,2,27,1.0,298.0,2026704027,0.6,0.6
fig3_risk_compensation,880.0,0.4,0,73.18181818181819,2,28,1.0,236.0,2026704028,0.6,0.6
fig3_risk_compensation,1010.9999999999999,0.4,0,72.40356083086053,2,29,1.0,279.0,2026704029,0.6,0.6
fig3_risk_compensation,1242.0,0.4,0,73.34943639291465,2,30,1.0,331.0,2026704030,0.6,0.6
fig3_risk_compensation,1182.0,0.4,0,72.25042301184433,2,31,1.0,328.0,2026704031,0.6,0.6
fig3_risk_compensation,989.0,0.4,0,71.38523761375126,2,32,1.0,283.0,2026704032,0.6,0.6
fig3_risk_compensation,1230.0,0.4,0,75.6910569105691,2,33,1.0,299.0,2026704033,0.6,0.6
fig3_risk_compensation,1366.0,0.4,0,69.69253294289898,2,34,1.0,413.99999999999994,2026704034,0.6,0.6
fig3_risk_compensation,1163.0,0.4,0,73.94668959587274,2,35,1.0,303.0,2026704035,0.6,0.6
fig3_risk_compensation,1404.0,0.4,0,71.36752136752136,2,36,1.0,402.0,2026704036,0.6,0.6
fig3_risk_compensation,1198.0,0.4,0,72.12020033388981,2,37,1.0,334.0,2026704037,0.6,0.6
fig3_risk_compensation,1225.0,0.4,0,72.3265306122449,2,38,1.0,339.0,2026704038,0.6,0.6
fig3_risk_compensation,1261.0,0.4,0,74.22680412371135,2,39,1.0,325.0,2026704039,0.6,0.6
fig3_risk_compensation,921.0,0.4,0,77.95874049945711,2,40,1.0,203.0,2026704040,0.6,0.6
fig3_risk_compensation,1010.9999999999999,0.4,0,81.70128585558852,2,41,1.0,185.0,2026704041,0.6,0.6
