strategy,replicate_id,simulation_seed,extinct_before_day90,extinction_time,total_deaths,total_infected,total_vaccines
comm_base_40,109,2026073109,0,nan,330,773,40000
comm_base_60,109,2026073109,0,nan,176,456,60000
no_vax_base_ops,111,2026073111,0,nan,1182,2624,0
no_vax_enh_ops,111,2026073111,1,88.8259527277137,205,425,0
comm_base_40,111,2026073111,0,nan,365,807,40000
comm_base_60,111,2026073111,0,nan,196,471,60000
no_vax_base_ops,112,2026073112,0,nan,1195,2600,0
no_vax_enh_ops,112,2026073112,0,nan,170,379,0
comm_base_40,112,2026073112,0,nan,374,924,40000
comm_base_60,112,2026073112,0,nan,235,593,60000
no_vax_base_ops,113,2026073113,0,nan,993,2258,0
no_vax_enh_ops,113,2026073113,0,nan,184,404,0
comm_base_40,113,2026073113,0,nan,330,803,40000
comm_base_60,113,2026073113,0,nan,189,475,60000
no_vax_base_ops,115,2026073115,0,nan,758,1613,0
no_vax_enh_ops,115,2026073115,0,nan,147,289,0
comm_base_40,115,2026073115,0,nan,322,698,40000
comm_base_60,115,2026073115,0,nan,217,486,60000
no_vax_base_ops,114,2026073114,0,nan,1444,3172,0
no_vax_enh_ops,114,2026073114,0,nan,158,348,0
comm_base_40,114,2026073114,0,nan,405,925,40000
comm_base_60,114,2026073114,0,nan,201,464,60000
no_vax_base_ops,116,2026073116,0,nan,899,2036,0
no_vax_enh_ops,116,2026073116,0,nan,124,273,0
comm_base_40,116,2026073116,0,nan,301,712,40000
comm_base_60,116,2026073116,0,nan,222,535,60000
no_vax_base_ops,119,2026073119,0,nan,978,2106,0
no_vax_enh_ops,119,2026073119,0,nan,182,388,0
comm_base_40,119,2026073119,0,nan,271,681,40000
comm_base_60,119,2026073119,0,nan,190,476,60000
no_vax_base_ops,120,2026073120,0,nan,1100,2502,0
no_vax_enh_ops,120,2026073120,0,nan,150,374,0
comm_base_40,120,2026073120,0,nan,277,727,40000
comm_base_60,120,2026073120,0,nan,202,535,60000
no_vax_base_ops,117,2026073117,0,nan,1007,2341,0
no_vax_enh_ops,117,2026073117,0,nan,175,401,0
comm_base_40,117,2026073117,0,nan,289,721,40000
comm_base_60,117,2026073117,0,nan,187,502,60000
no_vax_base_ops,118,2026073118,0,nan,1130,2512,0
no_vax_enh_ops,118,2026073118,0,nan,125,284,0
comm_base_40,118,2026073118,0,nan,330,775,40000
comm_base_60,118,2026073118,0,nan,176,468,60000
