cell,ve_i,ve_m,n_replicates,median_cases,median_deaths,median_doses,median_mortality_reduction_pct
vei_0.675_vem_0.600,0.675,0.600,100,468.5,206.00000000000003,40000.0,75.19211686075357
vei_0.675_vem_0.675,0.675,0.675,100,468.5,204.50000000000003,40000.0,75.24530835011528
vei_0.675_vem_0.750,0.675,0.750,100,468.5,203.0,40000.0,75.46423834302622
vei_0.675_vem_0.825,0.675,0.825,100,468.5,202.0,40000.0,75.66383562443453
vei_0.675_vem_0.900,0.675,0.900,100,468.5,200.0,40000.0,75.73242273005866
vei_0.750_vem_0.000,0.750,0.000,100,438.0,198.5,40000.0,75.38273572377159
vei_0.750_vem_0.075,0.750,0.075,100,438.0,196.5,40000.0,75.43253652058434
vei_0.750_vem_0.150,0.750,0.150,100,438.0,196.5,40000.0,75.69907312049433
vei_0.750_vem_0.225,0.750,0.225,100,438.0,196.0,40000.0,75.75056642636457
vei_0.750_vem_0.300,0.750,0.300,100,438.0,195.5,40000.0,75.81723309303123
vei_0.750_vem_0.375,0.750,0.375,100,438.0,195.0,40000.0,75.88949772407449
vei_0.750_vem_0.450,0.750,0.450,100,438.0,195.0,40000.0,75.94099102994474
vei_0.750_vem_0.525,0.750,0.525,100,438.0,194.5,40000.0,76.16582782009684
vei_0.750_vem_0.600,0.750,0.600,100,438.0,194.0,40000.0,76.32030773770757
vei_0.750_vem_0.675,0.750,0.675,100,438.0,192.5,40000.0,76.43101386489178
vei_0.750_vem_0.750,0.750,0.750,100,438.0,192.0,40000.0,76.55943075060223
vei_0.750_vem_0.825,0.750,0.825,100,438.0,191.0,40000.0,76.61092405647247
vei_0.750_vem_0.900,0.750,0.900,100,438.0,190.0,40000.0,76.7245818388437
vei_0.825_vem_0.000,0.825,0.000,100,431.0,192.5,40000.0,76.61809258609003
vei_0.825_vem_0.075,0.825,0.075,100,431.0,192.5,40000.0,76.80941597696773
vei_0.825_vem_0.150,0.825,0.150,100,431.0,192.0,40000.0,76.86843611836755
vei_0.825_vem_0.225,0.825,0.225,100,431.0,191.5,40000.0,76.86936801533705
vei_0.825_vem_0.300,0.825,0.300,100,431.0,190.0,40000.0,77.05890997508399
vei_0.825_vem_0.375,0.825,0.375,100,431.0,189.0,40000.0,77.06384115505523
vei_0.825_vem_0.450,0.825,0.450,100,431.0,188.5,40000.0,77.18849989646165
vei_0.825_vem_0.525,0.825,0.525,100,431.0,187.5,40000.0,77.29170653630021
vei_0.825_vem_0.600,0.825,0.600,100,431.0,187.0,40000.0,77.31295487627365
vei_0.825_vem_0.675,0.825,0.675,100,431.0,187.0,40000.0,77.38702895034773
vei_0.825_vem_0.750,0.825,0.750,100,431.0,186.5,40000.0,77.4598091541323
vei_0.825_vem_0.825,0.825,0.825,100,431.0,186.0,40000.0,77.53258935791686
vei_0.825_vem_0.900,0.825,0.900,100,431.0,185.5,40000.0,77.60031186884652
vei_0.900_vem_0.000,0.900,0.000,100,409.0,183.0,40000.0,78.02056365975785
vei_0.900_vem_0.075,0.900,0.075,100,409.0,182.0,40000.0,78.02056365975785
vei_0.900_vem_0.150,0.900,0.150,100,409.0,182.0,40000.0,78.11269195354501
vei_0.900_vem_0.225,0.900,0.225,100,409.0,182.0,40000.0,78.11269195354501
vei_0.900_vem_0.300,0.900,0.300,100,409.0,181.5,40000.0,78.1229155086159
vei_0.900_vem_0.375,0.900,0.375,100,409.0,181.0,40000.0,78.1229155086159
vei_0.900_vem_0.450,0.900,0.450,100,409.0,180.5,40000.0,78.19752119924969
vei_0.900_vem_0.525,0.900,0.525,100,409.0,180.5,40000.0,78.23906235171302
vei_0.900_vem_0.600,0.900,0.600,100,409.0,180.5,40000.0,78.23906235171302
vei_0.900_vem_0.675,0.900,0.675,100,409.0,180.0,40000.0,78.36101357122521
vei_0.900_vem_0.750,0.900,0.750,100,409.0,179.0,40000.0,78.53160292303312
vei_0.900_vem_0.825,0.900,0.825,100,409.0,178.5,40000.0,78.56759075507179
vei_0.900_vem_0.900,0.900,0.900,100,409.0,178.5,40000.0,78.65593762680783
