analysis,base_deaths,coverage,det,max_vaccines,mortality_reduction_pct,replicate,risk,scenario_deaths,seed,trace,ve
fig3_risk_compensation,813.0,0.4,0.3,0,39.60639606396063,96,1.0,491.00000000000006,2026586096,0.3,0.3
fig3_risk_compensation,747.0,0.4,0.3,0,50.73627844712182,97,1.0,368.0,2026586097,0.3,0.3
fig3_risk_compensation,1105.0,0.4,0.3,0,62.62443438914027,98,1.0,413.0,2026586098,0.3,0.3
fig3_risk_compensation,818.0,0.4,0.3,0,62.224938875305625,99,1.0,309.0,2026586099,0.3,0.3
fig3_risk_compensation,750.0,0.4,0.3,0,36.00000000000001,0,1.0,479.99999999999994,2026585000,0.3,0.15
fig3_risk_compensation,867.0000000000001,0.4,0.3,0,34.37139561707036,1,1.0,569.0,2026585001,0.3,0.15
fig3_risk_compensation,881.0,0.4,0.3,0,45.74347332576617,2,1.0,478.00000000000006,2026585002,0.3,0.15
fig3_risk_compensation,816.0000000000001,0.4,0.3,0,33.70098039215687,3,1.0,541.0,2026585003,0.3,0.15
fig3_risk_compensation,958.0,0.4,0.3,0,35.38622129436326,4,1.0,619.0,2026585004,0.3,0.15
fig3_risk_compensation,738.0,0.4,0.3,0,45.934959349593505,5,1.0,398.99999999999994,2026585005,0.3,0.15
fig3_risk_compensation,673.0,0.4,0.3,0,21.545319465081725,6,1.0,528.0,2026585006,0.3,0.15
fig3_risk_compensation,859.0,0.4,0.3,0,49.94179278230501,7,1.0,430.0,2026585007,0.3,0.15
fig3_risk_compensation,810.9999999999999,0.4,0.3,0,23.79778051787915,8,1.0,618.0,2026585008,0.3,0.15
fig3_risk_compensation,840.0,0.4,0.3,0,43.214285714285715,9,1.0,477.0,2026585009,0.3,0.15
fig3_risk_compensation,626.0,0.4,0.3,0,23.961661341853027,10,1.0,476.00000000000006,2026585010,0.3,0.15
fig3_risk_compensation,903.0,0.4,0.3,0,41.19601328903654,11,1.0,531.0,2026585011,0.3,0.15
fig3_risk_compensation,736.0,0.4,0.3,0,26.222826086956523,12,1.0,543.0,2026585012,0.3,0.15
fig3_risk_compensation,616.0,0.4,0.3,0,17.2077922077922,13,1.0,510.00000000000006,2026585013,0.3,0.15
fig3_risk_compensation,705.0,0.4,0.3,0,32.05673758865248,14,1.0,479.0,2026585014,0.3,0.15
fig3_risk_compensation,967.0,0.4,0.3,0,55.01551189245088,15,1.0,434.99999999999994,2026585015,0.3,0.15
fig3_risk_compensation,861.9999999999999,0.4,0.3,0,33.642691415313216,16,1.0,572.0,2026585016,0.3,0.15
fig3_risk_compensation,786.0000000000001,0.4,0.3,0,30.78880407124683,17,1.0,544.0,2026585017,0.3,0.15
fig3_risk_compensation,742.0,0.4,0.3,0,36.92722371967655,18,1.0,468.0,2026585018,0.3,0.15
fig3_risk_compensation,865.9999999999999,0.4,0.3,0,55.6581986143187,19,1.0,384.0,2026585019,0.3,0.15
fig3_risk_compensation,560.0,0.4,0.3,0,35.892857142857146,20,1.0,359.0,2026585020,0.3,0.15
fig3_risk_compensation,956.0000000000001,0.4,0.3,0,54.184100418410054,21,1.0,438.0,2026585021,0.3,0.15
fig3_risk_compensation,690.0,0.4,0.3,0,40.86956521739129,22,1.0,408.00000000000006,2026585022,0.3,0.15
fig3_risk_compensation,653.0,0.4,0.3,0,40.42879019908116,23,1.0,389.0,2026585023,0.3,0.15
fig3_risk_compensation,844.0,0.4,0.3,0,33.29383886255924,24,1.0,563.0,2026585024,0.3,0.15
fig3_risk_compensation,1390.0,0.4,0.3,0,46.47482014388489,25,1.0,744.0,2026585025,0.3,0.15
fig3_risk_compensation,806.0,0.4,0.3,0,41.687344913151364,26,1.0,470.0,2026585026,0.3,0.15
fig3_risk_compensation,841.0000000000001,0.4,0.3,0,46.01664684898931,27,1.0,454.0,2026585027,0.3,0.15
fig3_risk_compensation,702.0,0.4,0.3,0,39.17378917378916,28,1.0,427.00000000000006,2026585028,0.3,0.15
fig3_risk_compensation,1088.0,0.4,0.3,0,30.97426470588235,29,1.0,751.0,2026585029,0.3,0.15
fig3_risk_compensation,800.0,0.4,0.3,0,41.62500000000001,30,1.0,466.99999999999994,2026585030,0.3,0.15
fig3_risk_compensation,789.0,0.4,0.3,0,42.96577946768062,31,1.0,449.99999999999994,2026585031,0.3,0.15
fig3_risk_compensation,980.0,0.4,0.3,0,33.46938775510204,32,1.0,652.0,2026585032,0.3,0.15
fig3_risk_compensation,915.0,0.4,0.3,0,36.612021857923494,33,1.0,580.0,2026585033,0.3,0.15
fig3_risk_compensation,771.0,0.4,0.3,0,41.76394293125811,34,1.0,449.0,2026585034,0.3,0.15
fig3_risk_compensation,604.0,0.4,0.3,0,40.89403973509934,35,1.0,357.0,2026585035,0.3,0.15
fig3_risk_compensation,671.0,0.4,0.3,0,30.849478390461996,36,1.0,464.0,2026585036,0.3,0.15
fig3_risk_compensation,1030.0,0.4,0.3,0,41.359223300970875,37,1.0,604.0,2026585037,0.3,0.15
fig3_risk_compensation,963.0,0.4,0.3,0,39.04465212876428,38,1.0,587.0,2026585038,0.3,0.15
fig3_risk_compensation,788.0,0.4,0.3,0,43.2741116751269,39,1.0,447.0,2026585039,0.3,0.15
