date,variable,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
2026-07-12,R,,estimate based on partial data,1.44309069336716,1.44870473656634,0.127683186303439,1.2513491919048,1.36274835661578,1.4116322884192,1.47277303792488,1.52493251914819,1.66269917769118
2026-07-13,R,,estimate based on partial data,1.44730187240317,1.45514168374759,0.133722835804795,1.25018345881381,1.36524562475293,1.41611135997295,1.47881281204671,1.53370764957285,1.68149844562997
2026-07-14,R,,estimate based on partial data,1.45174875624146,1.46103909810814,0.140221987077033,1.24763519521985,1.36545761532093,1.41974757316135,1.48545606357452,1.54485760988364,1.70228525073988
2026-07-15,R,,estimate based on partial data,1.45512712490431,1.46637660346345,0.147207223421342,1.24148740388319,1.36685341740303,1.42275304559441,1.49047171322242,1.55374371775027,1.72107850742915
2026-07-16,R,,estimate based on partial data,1.45829913073989,1.47115730513832,0.154715092839877,1.23680674244347,1.36679875618896,1.42395708674055,1.49478912977956,1.56218589139043,1.7425424000716
2026-07-17,R,,estimate based on partial data,1.46127251180056,1.47540568348205,0.162780947949927,1.22982057515782,1.36677445093421,1.42528218146859,1.49728548272989,1.57082726126542,1.76565254549345
2026-07-18,R,,estimate based on partial data,1.46345714610296,1.4791643318213,0.171432072861597,1.22099875597997,1.36457674239624,1.42615581898844,1.50150403499509,1.57863738848532,1.7864158238516
2026-07-19,R,,estimate based on partial data,1.46332705921179,1.48248998375037,0.180685642912659,1.21032549309244,1.36371907092162,1.42590760051469,1.50512114027274,1.58532032968449,1.81256227532104
2026-07-20,R,,estimate based on partial data,1.4640052574014,1.48544917999569,0.190549689358678,1.20018173862761,1.36043240330138,1.42700181771005,1.50590541098188,1.59236569087533,1.83099581315694
2026-07-21,R,,estimate based on partial data,1.46427211705945,1.48811382282603,0.201024460305699,1.19041480890549,1.35632746290943,1.42526896018866,1.50864763811207,1.60105657603028,1.86183254258138
2026-07-22,R,,estimate based on partial data,1.46522168948585,1.49055685264179,0.212102563586174,1.17572153239722,1.35332041414185,1.42465894678211,1.50996753826443,1.60727481574938,1.88705632928722
2026-07-23,R,,estimate based on partial data,1.46427556947189,1.49284835853524,0.223768106476587,1.16560318311231,1.34972563784863,1.4244463186556,1.51216651140599,1.61522853178089,1.91776312730641
2026-07-24,R,,estimate based on partial data,1.46445982189838,1.4950525037539,0.23599636025429,1.15155217099832,1.34606772972359,1.42141469315446,1.51563547458021,1.62247272481308,1.94107560013491
2026-07-25,R,,estimate based on partial data,1.46463682090115,1.49722558328743,0.248755407517457,1.13956405630742,1.3422368904521,1.41831314426492,1.51598538605604,1.62584976108994,1.96965218947711
2026-07-26,R,,estimate based on partial data,1.464324936078,1.49941528604961,0.262009894688657,1.12507298228982,1.33767260726424,1.41833344133565,1.51784582232702,1.6344552413139,1.99397159683663
2026-07-27,R,,estimate based on partial data,1.46488117645943,1.50166089386194,0.275725363993405,1.11145452564899,1.33168726643533,1.41482956690321,1.51949058734448,1.64177805185605,2.02295906042244
2026-07-28,R,,estimate based on partial data,1.46310986172952,1.50399389607831,0.289870830338674,1.09593677001413,1.32580157503783,1.41069192835039,1.52186744492385,1.64947530110623,2.04915694900435
2026-07-29,R,,estimate based on partial data,1.46468694264525,1.50643849592729,0.304417940096753,1.08091590668295,1.32007644607099,1.40808230206547,1.52466525049729,1.6551430124356,2.08137038201534
2026-07-30,R,,estimate based on partial data,1.46306760450582,1.50901175625639,0.31933693109002,1.06406586849063,1.31473092115059,1.4061771980343,1.52509868852499,1.65897455240123,2.11994626859811
2026-07-31,R,,estimate based on partial data,1.46155358476961,1.51172352199561,0.334591614328255,1.04850475985476,1.30764755555467,1.40495227562166,1.52646067139609,1.66768483805703,2.15372194524608
2026-08-01,R,,forecast,1.46155358476961,1.51172352199561,0.334591614328255,1.04850475985476,1.30764755555467,1.40495227562166,1.52646067139609,1.66768483805703,2.15372194524608
2026-08-02,R,,forecast,1.46155358476961,1.51172352199561,0.334591614328255,1.04850475985476,1.30764755555467,1.40495227562166,1.52646067139609,1.66768483805703,2.15372194524608
2026-08-03,R,,forecast,1.46155358476961,1.51172352199561,0.334591614328255,1.04850475985476,1.30764755555467,1.40495227562166,1.52646067139609,1.66768483805703,2.15372194524608
2026-08-04,R,,forecast,1.46155358476961,1.51172352199561,0.334591614328255,1.04850475985476,1.30764755555467,1.40495227562166,1.52646067139609,1.66768483805703,2.15372194524608
2026-08-05,R,,forecast,1.46155358476961,1.51172352199561,0.334591614328255,1.04850475985476,1.30764755555467,1.40495227562166,1.52646067139609,1.66768483805703,2.15372194524608
2026-08-06,R,,forecast,1.46155358476961,1.51172352199561,0.334591614328255,1.04850475985476,1.30764755555467,1.40495227562166,1.52646067139609,1.66768483805703,2.15372194524608
2026-08-07,R,,forecast,1.46155358476961,1.51172352199561,0.334591614328255,1.04850475985476,1.30764755555467,1.40495227562166,1.52646067139609,1.66768483805703,2.15372194524608
