after_onset,analysis,before_exposure,coverage,during_incubation,enhanced,max_vaccines,n_vaccinated_cases,radius,replicate,seed,strategy
18,supp_s3_delivery,112,0.4,20,,0,150,2,124,2026131124,community40_base
48,supp_s3_delivery,13,,12,1,,73,2,124,2026131124,ring2_enhanced
16,supp_s3_delivery,126,0.4,18,,0,160,2,123,2026131123,community40_base
67,supp_s3_delivery,12,,14,1,,93,2,123,2026131123,ring2_enhanced
17,supp_s3_delivery,111,0.4,20,,0,148,2,121,2026131121,community40_base
49,supp_s3_delivery,11,,13,1,,73,2,121,2026131121,ring2_enhanced
24,supp_s3_delivery,148,0.4,29,,0,201,2,122,2026131122,community40_base
91,supp_s3_delivery,10,,35,1,,136,2,122,2026131122,ring2_enhanced
16,supp_s3_delivery,86,0.4,22,,0,124,2,125,2026131125,community40_base
78,supp_s3_delivery,10,,15,1,,103,2,125,2026131125,ring2_enhanced
21,supp_s3_delivery,136,0.4,19,,0,176,2,127,2026131127,community40_base
56,supp_s3_delivery,9,,12,1,,77,2,127,2026131127,ring2_enhanced
20,supp_s3_delivery,107,0.4,19,,0,146,2,128,2026131128,community40_base
66,supp_s3_delivery,15,,11,1,,92,2,128,2026131128,ring2_enhanced
23,supp_s3_delivery,88,0.4,12,,0,123,2,129,2026131129,community40_base
66,supp_s3_delivery,16,,15,1,,97,2,129,2026131129,ring2_enhanced
18,supp_s3_delivery,112,0.4,16,,0,146,2,133,2026131133,community40_base
60,supp_s3_delivery,6,,19,1,,85,2,133,2026131133,ring2_enhanced
15,supp_s3_delivery,72,0.4,15,,0,102,2,130,2026131130,community40_base
54,supp_s3_delivery,5,,14,1,,73,2,130,2026131130,ring2_enhanced
21,supp_s3_delivery,126,0.4,18,,0,165,2,131,2026131131,community40_base
84,supp_s3_delivery,21,,14,1,,119,2,131,2026131131,ring2_enhanced
15,supp_s3_delivery,110,0.4,17,,0,142,2,132,2026131132,community40_base
43,supp_s3_delivery,8,,21,1,,72,2,132,2026131132,ring2_enhanced
19,supp_s3_delivery,102,0.4,13,,0,134,2,134,2026131134,community40_base
71,supp_s3_delivery,25,,17,1,,113,2,134,2026131134,ring2_enhanced
19,supp_s3_delivery,55,0.4,12,,0,86,2,137,2026131137,community40_base
45,supp_s3_delivery,9,,13,1,,67,2,137,2026131137,ring2_enhanced
19,supp_s3_delivery,89,0.4,16,,0,124,2,136,2026131136,community40_base
56,supp_s3_delivery,17,,19,1,,92,2,136,2026131136,ring2_enhanced
22,supp_s3_delivery,115,0.4,16,,0,153,2,135,2026131135,community40_base
101,supp_s3_delivery,11,,15,1,,127,2,135,2026131135,ring2_enhanced
16,supp_s3_delivery,111,0.4,21,,0,148,2,139,2026131139,community40_base
63,supp_s3_delivery,7,,14,1,,84,2,139,2026131139,ring2_enhanced
21,supp_s3_delivery,82,0.4,19,,0,122,2,138,2026131138,community40_base
91,supp_s3_delivery,15,,19,1,,125,2,138,2026131138,ring2_enhanced
20,supp_s3_delivery,133,0.4,23,,0,176,2,142,2026131142,community40_base
67,supp_s3_delivery,20,,20,1,,107,2,142,2026131142,ring2_enhanced
22,supp_s3_delivery,132,0.4,23,,0,177,2,140,2026131140,community40_base
62,supp_s3_delivery,9,,5,1,,76,2,140,2026131140,ring2_enhanced
22,supp_s3_delivery,136,0.4,28,,0,186,2,141,2026131141,community40_base
101,supp_s3_delivery,18,,33,1,,152,2,141,2026131141,ring2_enhanced
18,supp_s3_delivery,106,0.4,21,,0,145,2,144,2026131144,community40_base
83,supp_s3_delivery,14,,16,1,,113,2,144,2026131144,ring2_enhanced
26,supp_s3_delivery,108,0.4,22,,0,156,2,143,2026131143,community40_base
99,supp_s3_delivery,17,,17,1,,133,2,143,2026131143,ring2_enhanced
18,supp_s3_delivery,111,0.4,23,,0,152,2,145,2026131145,community40_base
58,supp_s3_delivery,15,,24,1,,97,2,145,2026131145,ring2_enhanced
10,supp_s3_delivery,101,0.4,13,,0,124,2,146,2026131146,community40_base
74,supp_s3_delivery,17,,19,1,,110,2,146,2026131146,ring2_enhanced
15,supp_s3_delivery,106,0.4,15,,0,136,2,147,2026131147,community40_base
80,supp_s3_delivery,10,,13,1,,103,2,147,2026131147,ring2_enhanced
17,supp_s3_delivery,104,0.4,15,,0,136,2,150,2026131150,community40_base
49,supp_s3_delivery,8,,18,1,,75,2,150,2026131150,ring2_enhanced
18,supp_s3_delivery,143,0.4,16,,0,177,2,149,2026131149,community40_base
57,supp_s3_delivery,16,,14,1,,87,2,149,2026131149,ring2_enhanced
18,supp_s3_delivery,99,0.4,17,,0,134,2,148,2026131148,community40_base
51,supp_s3_delivery,7,,17,1,,75,2,148,2026131148,ring2_enhanced
20,supp_s3_delivery,102,0.4,21,,0,143,2,152,2026131152,community40_base
40,supp_s3_delivery,12,,14,1,,66,2,152,2026131152,ring2_enhanced
18,supp_s3_delivery,134,0.4,32,,0,184,2,151,2026131151,community40_base
89,supp_s3_delivery,5,,17,1,,111,2,151,2026131151,ring2_enhanced
18,supp_s3_delivery,130,0.4,20,,0,168,2,153,2026131153,community40_base
78,supp_s3_delivery,8,,9,1,,95,2,153,2026131153,ring2_enhanced
17,supp_s3_delivery,90,0.4,16,,0,123,2,154,2026131154,community40_base
84,supp_s3_delivery,8,,10,1,,102,2,154,2026131154,ring2_enhanced
13,supp_s3_delivery,114,0.4,22,,0,149,2,155,2026131155,community40_base
69,supp_s3_delivery,23,,33,1,,125,2,155,2026131155,ring2_enhanced
27,supp_s3_delivery,86,0.4,20,,0,133,2,158,2026131158,community40_base
62,supp_s3_delivery,4,,14,1,,80,2,158,2026131158,ring2_enhanced
23,supp_s3_delivery,111,0.4,21,,0,155,2,156,2026131156,community40_base
72,supp_s3_delivery,16,,17,1,,105,2,156,2026131156,ring2_enhanced
16,supp_s3_delivery,103,0.4,21,,0,140,2,157,2026131157,community40_base
46,supp_s3_delivery,14,,18,1,,78,2,157,2026131157,ring2_enhanced
11,supp_s3_delivery,79,0.4,17,,0,107,2,159,2026131159,community40_base
49,supp_s3_delivery,5,,14,1,,68,2,159,2026131159,ring2_enhanced
18,supp_s3_delivery,70,0.4,22,,0,110,2,161,2026131161,community40_base
69,supp_s3_delivery,22,,30,1,,121,2,161,2026131161,ring2_enhanced
23,supp_s3_delivery,78,0.4,9,,0,110,2,160,2026131160,community40_base
62,supp_s3_delivery,11,,11,1,,84,2,160,2026131160,ring2_enhanced
19,supp_s3_delivery,110,0.4,15,,0,144,2,163,2026131163,community40_base
53,supp_s3_delivery,2,,10,1,,65,2,163,2026131163,ring2_enhanced
17,supp_s3_delivery,77,0.4,13,,0,107,2,162,2026131162,community40_base
73,supp_s3_delivery,18,,8,1,,99,2,162,2026131162,ring2_enhanced
21,supp_s3_delivery,111,0.4,12,,0,144,2,165,2026131165,community40_base
82,supp_s3_delivery,15,,18,1,,115,2,165,2026131165,ring2_enhanced
24,supp_s3_delivery,83,0.4,28,,0,135,2,164,2026131164,community40_base
72,supp_s3_delivery,6,,16,1,,94,2,164,2026131164,ring2_enhanced
19,supp_s3_delivery,97,0.4,18,,0,134,2,167,2026131167,community40_base
70,supp_s3_delivery,17,,19,1,,106,2,167,2026131167,ring2_enhanced
18,supp_s3_delivery,109,0.4,16,,0,143,2,166,2026131166,community40_base
94,supp_s3_delivery,9,,11,1,,114,2,166,2026131166,ring2_enhanced
18,supp_s3_delivery,98,0.4,22,,0,138,2,168,2026131168,community40_base
54,supp_s3_delivery,20,,15,1,,89,2,168,2026131168,ring2_enhanced
19,supp_s3_delivery,83,0.4,14,,0,116,2,169,2026131169,community40_base
54,supp_s3_delivery,9,,22,1,,85,2,169,2026131169,ring2_enhanced
25,supp_s3_delivery,120,0.4,27,,0,172,2,171,2026131171,community40_base
84,supp_s3_delivery,16,,30,1,,130,2,171,2026131171,ring2_enhanced
17,supp_s3_delivery,119,0.4,27,,0,163,2,170,2026131170,community40_base
106,supp_s3_delivery,14,,25,1,,145,2,170,2026131170,ring2_enhanced
27,supp_s3_delivery,142,0.4,25,,0,194,2,172,2026131172,community40_base
78,supp_s3_delivery,11,,19,1,,108,2,172,2026131172,ring2_enhanced
