strategy,replicate_id,simulation_seed,extinct_before_day90,extinction_time,total_deaths,total_infected,total_vaccines
no_vax_enh_ops,91,2026073091,0,nan,145,332,0
comm_base_40,91,2026073091,0,nan,283,655,40000
comm_base_60,91,2026073091,0,nan,170,423,60000
no_vax_base_ops,93,2026073093,0,nan,815,1887,0
no_vax_enh_ops,93,2026073093,0,nan,146,316,0
comm_base_40,93,2026073093,0,nan,283,669,40000
comm_base_60,93,2026073093,0,nan,155,368,60000
no_vax_base_ops,92,2026073092,0,nan,1101,2408,0
no_vax_enh_ops,92,2026073092,0,nan,110,249,0
comm_base_40,92,2026073092,0,nan,287,669,40000
comm_base_60,92,2026073092,0,nan,189,492,60000
no_vax_base_ops,90,2026073090,0,nan,804,1700,0
no_vax_enh_ops,90,2026073090,0,nan,154,352,0
comm_base_40,90,2026073090,0,nan,182,432,40000
comm_base_60,90,2026073090,0,nan,144,383,60000
no_vax_base_ops,96,2026073096,0,nan,880,1978,0
no_vax_enh_ops,96,2026073096,0,nan,108,222,0
comm_base_40,96,2026073096,0,nan,313,705,40000
comm_base_60,96,2026073096,0,nan,185,419,60000
no_vax_base_ops,94,2026073094,0,nan,780,1681,0
no_vax_enh_ops,94,2026073094,0,nan,214,460,0
comm_base_40,94,2026073094,0,nan,288,665,40000
comm_base_60,94,2026073094,0,nan,211,486,60000
no_vax_base_ops,98,2026073098,0,nan,937,2098,0
no_vax_enh_ops,98,2026073098,0,nan,145,308,0
comm_base_40,98,2026073098,0,nan,270,640,40000
comm_base_60,98,2026073098,0,nan,172,423,60000
no_vax_base_ops,95,2026073095,0,nan,663,1480,0
no_vax_enh_ops,95,2026073095,0,nan,180,394,0
comm_base_40,95,2026073095,0,nan,241,598,40000
comm_base_60,95,2026073095,0,nan,149,378,60000
no_vax_base_ops,99,2026073099,0,nan,631,1441,0
no_vax_enh_ops,99,2026073099,0,nan,108,258,0
comm_base_40,99,2026073099,0,nan,179,439,40000
comm_base_60,99,2026073099,0,nan,153,373,60000
no_vax_base_ops,97,2026073097,0,nan,757,1701,0
no_vax_enh_ops,97,2026073097,1,71.71845740378191,105,227,0
comm_base_40,97,2026073097,0,nan,207,472,40000
comm_base_60,97,2026073097,0,nan,164,398,60000
no_vax_base_ops,101,2026073101,0,nan,1104,2403,0
no_vax_enh_ops,101,2026073101,0,nan,160,316,0
comm_base_40,101,2026073101,0,nan,348,770,40000
comm_base_60,101,2026073101,0,nan,203,474,60000
no_vax_base_ops,100,2026073100,0,nan,916,2009,0
no_vax_enh_ops,100,2026073100,0,nan,133,296,0
comm_base_40,100,2026073100,0,nan,434,1067,40000
comm_base_60,100,2026073100,0,nan,206,541,60000
no_vax_base_ops,103,2026073103,0,nan,928,1961,0
no_vax_enh_ops,103,2026073103,0,nan,144,322,0
comm_base_40,103,2026073103,0,nan,265,634,40000
comm_base_60,103,2026073103,0,nan,149,384,60000
no_vax_base_ops,102,2026073102,0,nan,817,1771,0
no_vax_enh_ops,102,2026073102,0,nan,123,270,0
comm_base_40,102,2026073102,0,nan,222,539,40000
comm_base_60,102,2026073102,0,nan,147,365,60000
no_vax_base_ops,105,2026073105,0,nan,941,1993,0
no_vax_enh_ops,105,2026073105,0,nan,118,291,0
comm_base_40,105,2026073105,0,nan,249,568,40000
comm_base_60,105,2026073105,0,nan,196,485,60000
no_vax_base_ops,107,2026073107,0,nan,725,1621,0
no_vax_enh_ops,107,2026073107,0,nan,119,266,0
comm_base_40,107,2026073107,0,nan,165,390,40000
comm_base_60,107,2026073107,0,nan,136,344,60000
no_vax_base_ops,104,2026073104,0,nan,840,1952,0
no_vax_enh_ops,104,2026073104,0,nan,104,231,0
comm_base_40,104,2026073104,0,nan,309,777,40000
comm_base_60,104,2026073104,0,nan,174,465,60000
no_vax_base_ops,106,2026073106,0,nan,537,1219,0
no_vax_enh_ops,106,2026073106,0,nan,155,318,0
comm_base_40,106,2026073106,0,nan,161,369,40000
comm_base_60,106,2026073106,0,nan,135,300,60000
no_vax_base_ops,108,2026073108,0,nan,895,2029,0
no_vax_enh_ops,108,2026073108,0,nan,135,327,0
comm_base_40,108,2026073108,0,nan,174,468,40000
comm_base_60,108,2026073108,0,nan,126,353,60000
no_vax_base_ops,109,2026073109,0,nan,882,1954,0
no_vax_enh_ops,109,2026073109,0,nan,206,455,0
comm_base_40,109,2026073109,0,nan,282,676,40000
comm_base_60,109,2026073109,0,nan,170,407,60000
no_vax_base_ops,110,2026073110,0,nan,571,1385,0
no_vax_enh_ops,110,2026073110,1,87.13564012835768,78,199,0
comm_base_40,110,2026073110,0,nan,166,485,40000
comm_base_60,110,2026073110,0,nan,130,387,60000
no_vax_base_ops,111,2026073111,0,nan,758,1626,0
no_vax_enh_ops,111,2026073111,1,88.5970602763998,160,335,0
comm_base_40,111,2026073111,0,nan,347,750,40000
comm_base_60,111,2026073111,0,nan,178,416,60000
no_vax_base_ops,113,2026073113,0,nan,998,2274,0
no_vax_enh_ops,113,2026073113,0,nan,140,294,0
comm_base_40,113,2026073113,0,nan,369,894,40000
comm_base_60,113,2026073113,0,nan,144,354,60000
no_vax_base_ops,114,2026073114,0,nan,661,1444,0
no_vax_enh_ops,114,2026073114,1,81.70268913841224,134,298,0
comm_base_40,114,2026073114,0,nan,295,703,40000
comm_base_60,114,2026073114,0,nan,210,498,60000
no_vax_base_ops,115,2026073115,0,nan,832,1757,0
no_vax_enh_ops,115,2026073115,0,nan,130,258,0
comm_base_40,115,2026073115,0,nan,360,785,40000
comm_base_60,115,2026073115,0,nan,209,467,60000
no_vax_base_ops,112,2026073112,0,nan,1078,2359,0
no_vax_enh_ops,112,2026073112,1,88.7313084492713,165,361,0
comm_base_40,112,2026073112,0,nan,270,649,40000
comm_base_60,112,2026073112,0,nan,229,558,60000
no_vax_base_ops,117,2026073117,0,nan,812,1899,0
no_vax_enh_ops,117,2026073117,0,nan,142,321,0
comm_base_40,117,2026073117,0,nan,238,603,40000
comm_base_60,117,2026073117,0,nan,127,330,60000
no_vax_base_ops,116,2026073116,0,nan,882,1996,0
no_vax_enh_ops,116,2026073116,0,nan,149,326,0
comm_base_40,116,2026073116,0,nan,321,759,40000
comm_base_60,116,2026073116,0,nan,203,514,60000
no_vax_base_ops,120,2026073120,0,nan,533,1235,0
no_vax_enh_ops,120,2026073120,0,nan,76,194,0
comm_base_40,120,2026073120,0,nan,139,365,40000
comm_base_60,120,2026073120,0,nan,114,305,60000
no_vax_base_ops,118,2026073118,0,nan,513,1143,0
no_vax_enh_ops,118,2026073118,0,nan,122,281,0
comm_base_40,118,2026073118,0,nan,183,442,40000
comm_base_60,118,2026073118,0,nan,122,308,60000
no_vax_base_ops,121,2026073121,0,nan,737,1649,0
no_vax_enh_ops,121,2026073121,0,nan,144,315,0
comm_base_40,121,2026073121,0,nan,183,421,40000
comm_base_60,121,2026073121,0,nan,112,280,60000
no_vax_base_ops,119,2026073119,0,nan,693,1518,0
no_vax_enh_ops,119,2026073119,0,nan,139,294,0
comm_base_40,119,2026073119,0,nan,215,536,40000
comm_base_60,119,2026073119,0,nan,132,316,60000
no_vax_base_ops,123,2026073123,0,nan,841,1825,0
no_vax_enh_ops,123,2026073123,0,nan,202,451,0
comm_base_40,123,2026073123,0,nan,353,836,40000
comm_base_60,123,2026073123,0,nan,197,506,60000
no_vax_base_ops,122,2026073122,0,nan,1220,2714,0
no_vax_enh_ops,122,2026073122,0,nan,121,279,0
comm_base_40,122,2026073122,0,nan,294,704,40000
